TYÖAIKAKIRJANPITO / WATCHDOUGH

PVM		|AKTIVITEETTI			|AIKA (h)
20.3.2021	|määritteludokumentti, aloitus 	|4	
xx.xx.2021	|				|
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |
xx.xx.2021      |                               |

